id	category	english_name	korean_name	english_description	korean_description	confidence	risk_note
eightball	misc	8-Ball Pool	8볼 풀	Play 8-Ball Pool with a Conversation character. Install to use /8ball manually in any Conversation chat. Add under Chat Settings → Agents → Commands only to let characters initiate it.	Conversation 캐릭터와 8볼 풀을 플레이합니다. 어느 Conversation 채팅에서나 /8ball을 수동으로 사용하려면 설치하세요. 캐릭터가 게임을 시작할 수 있게 하려는 경우에만 채팅 설정 → 에이전트 → 명령어에 추가하세요.	high	"게임명은 ""8볼 풀""과 ""에잇볼 풀"" 표기가 모두 쓰이지만 현재 권고안은 더 간결한 전자를 택했습니다."
background	tracker	Background	배경	Selects the most fitting existing background image for the current scene from your background library. Add the Agent in Chat Settings → Agents → Tracker Agents for Roleplay mode.	배경 라이브러리에서 현재 장면에 가장 잘 어울리는 기존 배경 이미지를 선택합니다. Roleplay 모드에서 채팅 설정 → 에이전트 → 트래커 에이전트에 에이전트를 추가하세요.	high	Background가 기능명과 일반 명사를 겸하지만 기존 한국어 용어와 일치합니다.
beholder	tracker	Beholder	Beholder	Tracks each roleplay character's clothing by body slot, held items, wounds, missing parts, bare slots, and species, then keeps that physical state available to the next response, and shows it on a paper doll you can open from the roleplay toolbar. Pick the prompt template for your model: one prompt for a SOTA model (GPT-5.5+, Opus 4.8+, Kimi K3+), or five passes for the local Beholder model (GetBeholder/Beholder-GGUF) — free, offline, and private. Add the Agent in Chat Settings → Agents → Tracker Agents for Roleplay mode.	각 롤플레이 캐릭터의 의상을 신체 부위별로 추적하고, 들고 있는 물건, 상처, 결손 부위, 노출된 부위, 종족을 기록해 이 신체 상태를 다음 응답에서 사용할 수 있게 하며, 롤플레이 도구 모음에서 열 수 있는 페이퍼 돌에 표시합니다. 모델에 맞는 프롬프트 템플릿을 선택하세요: SOTA 모델(GPT-5.5+, Opus 4.8+, Kimi K3+)용 단일 프롬프트 또는 로컬 Beholder 모델(GetBeholder/Beholder-GGUF)용 5회 패스(무료, 오프라인, 비공개). Roleplay 모드에서 채팅 설정 → 에이전트 → 트래커 에이전트에 에이전트를 추가하세요.	medium	"Beholder와 모델명은 제품명으로 유지했습니다. ""paper doll""은 UI 맥락에 따라 ""페이퍼 돌"" 또는 ""인체 모형""으로 해석될 수 있습니다."
conversation-calls	misc	Calls	통화	Adds live audio and video calls with Conversation characters. Add as both a Command and an Agent in Chat Settings → Agents → Commands/Calls for Conversation mode.	Conversation 캐릭터와 실시간 음성 및 영상 통화를 추가합니다. Conversation 모드에서 채팅 설정 → 에이전트 → 명령어/통화에 명령어와 에이전트로 모두 추가하세요.	high	"Calls는 기능명과 일반 명사를 겸하지만 현재 한국어 UI의 ""통화""와 일치합니다."
card-evolution-auditor	writer	Card Evolution Auditor	카드 변화 검토기	Audits durable roleplay changes against saved character cards and proposes precise edits for user approval. Add the Agent in Chat Settings → Agents → Writer Agents for Roleplay mode.	저장된 캐릭터 카드와 대조하여 롤플레이에서 계속 유지될 변화를 검토하고, 사용자 승인을 받을 정확한 수정안을 제안합니다. Roleplay 모드에서 채팅 설정 → 에이전트 → 작가 에이전트에 에이전트를 추가하세요.	medium	"과거 용어 ""카드 업데이터""보다 현재 Auditor의 검토·제안 동작을 정확히 반영했으나 기존 사용자에게는 이름이 낯설 수 있습니다."
character-tracker	tracker	Character Tracker	캐릭터 추적기	Tracks which characters are present in the scene, their mood, actions, appearance, outfit, thoughts, and per-character stats (HP, etc.). Add the Agent in Chat Settings → Agents → Tracker Agents for Roleplay mode.	장면에 있는 캐릭터와 각 캐릭터의 기분, 행동, 외형, 복장, 생각, 개별 스탯(HP 등)을 추적합니다. Roleplay 모드에서 채팅 설정 → 에이전트 → 트래커 에이전트에 에이전트를 추가하세요.	high	"에이전트명에는 과거 용어 ""캐릭터 추적기""를 유지했지만 카테고리명 ""트래커 에이전트""와 표기 방식이 다릅니다."
chess	misc	Chess	체스	Play Chess with a Conversation character. Install to use /chess manually in any Conversation chat. Add under Chat Settings → Agents → Commands only to let characters initiate it.	Conversation 캐릭터와 체스를 플레이합니다. 어느 Conversation 채팅에서나 /chess를 수동으로 사용하려면 설치하세요. 캐릭터가 게임을 시작할 수 있게 하려는 경우에만 채팅 설정 → 에이전트 → 명령어에 추가하세요.	high	없음.
combat	misc	Combat	전투	Manages combat encounters, initiative, HP tracking, and turn-based actions. Add as an Agent in Chat Settings → Agents → Misc Agents for Roleplay mode.	전투 인카운터, 이니셔티브, HP 추적, 턴제 행동을 관리합니다. Roleplay 모드에서 채팅 설정 → 에이전트 → 기타 에이전트에 에이전트로 추가하세요.	medium	"initiative는 장르 용어인 ""이니셔티브""를 택했으며 독자에 따라 ""행동 순서""가 더 명확할 수 있습니다."
continuity	writer	Continuity Checker	연속성 검사기	Post-processes the latest assistant message to fix concrete spatial, timeline, and physical logic errors without changing the story. Add the Agent in Chat Settings → Agents → Writer Agents for Roleplay mode.	이야기를 바꾸지 않고 최신 어시스턴트 메시지를 후처리하여 구체적인 공간, 시간선, 물리적 논리 오류를 수정합니다. Roleplay 모드에서 채팅 설정 → 에이전트 → 작가 에이전트에 에이전트를 추가하세요.	high	과거 용어와 일치합니다.
custom-tracker	tracker	Custom Tracker	커스텀 트래커	Tracks user-defined fields (currencies, counters, flags, or any custom data). Add any fields you want the model to keep track of during the roleplay. Add the Agent in Chat Settings → Agents → Tracker Agents for Roleplay mode.	사용자가 정의한 필드(화폐, 카운터, 플래그 또는 임의의 사용자 지정 데이터)를 추적합니다. 롤플레이 중 모델이 계속 추적할 필드를 원하는 만큼 추가하세요. Roleplay 모드에서 채팅 설정 → 에이전트 → 트래커 에이전트에 에이전트를 추가하세요.	high	"custom은 기존 용어에 따라 이름에서는 ""커스텀"", 설명에서는 자연스러운 ""사용자 지정""으로 구분했습니다."
